Date,BKH,ED,FRT,GPC,KO,MO,MSEX,NFG,NWN,PEP
2024-01-02,52.7214469909668,89.26264953613281,100.27306365966797,134.1542510986328,58.04714584350586,38.290985107421875,63.29437255859375,49.013736724853516,37.2957878112793,167.5447235107422
2024-01-03,52.66413879394531,89.83255767822266,97.52796173095703,132.26954650878906,58.18299865722656,38.12522888183594,61.572879791259766,48.8111572265625,37.530765533447266,167.58346557617188
2024-01-04,52.501773834228516,90.07403564453125,97.71992492675781,132.2792510986328,57.98892593383789,38.2357292175293,60.60453414916992,48.84010314941406,37.30518341064453,166.14939880371094
2024-01-05,52.730995178222656,90.33484649658203,97.87349700927734,132.72613525390625,57.901588439941406,38.20810317993164,59.587284088134766,48.7918701171875,37.013816833496094,163.69790649414062
2024-01-08,53.52373123168945,90.6149673461914,98.21904754638672,134.5137176513672,58.32855224609375,38.594879150390625,60.18394470214844,49.129493713378906,37.24879455566406,163.8626251220703
2024-01-09,52.96976852416992,90.50871276855469,98.28622436523438,133.28961181640625,58.2218132019043,38.54883575439453,61.621788024902344,49.05231857299805,36.83523178100586,161.98281860351562
2024-01-10,52.826507568359375,91.10760498046875,99.10208129882812,133.74623107910156,58.41588592529297,37.81211853027344,62.22822189331055,48.801513671875,36.83523178100586,161.74058532714844
2024-01-11,51.51802062988281,88.14216613769531,97.88309478759766,134.48455810546875,58.037445068359375,38.30939483642578,60.07634735107422,48.11661911010742,36.00810623168945,160.97509765625
2024-01-12,51.088233947753906,88.49956512451172,98.7661361694336,134.84402465820312,58.600250244140625,38.069969177246094,60.20351028442383,48.59893798828125,36.12089538574219,162.0797119140625
2024-01-16,49.26399612426758,88.44159698486328,97.80631256103516,135.81552124023438,58.21210861206055,37.7292366027832,59.00041580200195,47.41242218017578,35.556949615478516,161.01385498046875
2024-01-17,49.034767150878906,87.46600341796875,96.2129898071289,134.04739379882812,58.21210861206055,37.517433166503906,57.31804275512695,46.90115737915039,35.44416046142578,161.2754669189453
2024-01-18,48.11787414550781,86.35517120361328,95.09959411621094,135.47549438476562,58.37706756591797,37.24115753173828,57.18110275268555,46.03297424316406,35.50054931640625,161.98281860351562
2024-01-19,47.974609375,86.79950714111328,96.5777359008789,138.0402374267578,58.056846618652344,37.13985824584961,56.16385269165039,46.110145568847656,35.71673583984375,160.63595581054688
2024-01-22,48.3279914855957,86.16197967529297,96.75050354003906,139.47808837890625,57.8045539855957,37.277992248535156,58.18857192993164,45.91721725463867,36.440467834472656,159.98672485351562
2024-01-23,48.89149856567383,86.08470916748047,97.787109375,138.9437713623047,58.076255798339844,37.24115753173828,59.20581817626953,45.82075500488281,36.65664291381836,162.43821716308594
2024-01-24,47.81224060058594,85.31194305419922,97.16322326660156,137.63221740722656,57.16411590576172,36.77150344848633,56.24210739135742,45.26125717163086,36.13969039916992,160.46153259277344
2024-01-25,48.71002960205078,86.61597442626953,99.50519561767578,138.45799255371094,57.406707763671875,37.02935028076172,56.73116683959961,45.72428894042969,36.647247314453125,161.39173889160156
2024-01-26,48.51901626586914,86.95405578613281,99.4380111694336,138.5648651123047,57.610477447509766,37.020145416259766,55.332454681396484,45.9365119934082,36.402870178222656,162.65139770507812
2024-01-29,49.617374420166016,87.504638671875,99.52439880371094,138.67172241210938,57.95981216430664,37.324039459228516,56.564884185791016,46.04262161254883,36.63785171508789,162.93240356445312
2024-01-30,49.80839920043945,87.59156799316406,99.4380111694336,139.1671905517578,58.12477493286133,37.259578704833984,55.42047882080078,46.15837860107422,35.883995056152344,164.35679626464844
2024-01-31,49.43590545654297,87.80408477783203,97.64314270019531,136.23326110839844,57.726932525634766,36.94647216796875,54.74557876586914,45.49277114868164,35.0844612121582,163.3006134033203
2024-02-01,50.190433502197266,89.62004852294922,99.09247589111328,138.60372924804688,59.172767639160156,38.41991424560547,55.97800827026367,45.82075500488281,35.246273040771484,166.37225341796875
2024-02-02,48.88195037841797,87.99726867675781,97.87349700927734,138.32199096679688,58.74580764770508,38.08838653564453,54.84339141845703,45.14550018310547,35.16060256958008,165.66490173339844
2024-02-05,47.43975067138672,86.61597442626953,95.79067993164062,136.1458282470703,58.260623931884766,37.3148307800293,53.36642837524414,44.065093994140625,34.11359786987305,165.616455078125
2024-02-06,47.66897201538086,86.71256256103516,97.5759506225586,137.29220581054688,58.16358947753906,37.38850021362305,54.25651550292969,44.489540100097656,34.027931213378906,166.1009521484375
2024-02-07,47.39199447631836,86.42278289794922,96.78888702392578,138.71058654785156,58.21210861206055,37.07539367675781,53.10232925415039,44.19050216674805,33.90419006347656,166.14939880371094
2024-02-08,48.94880676269531,85.65003204345703,97.95986938476562,138.2539825439453,58.056846618652344,36.91884231567383,54.804264068603516,47.05549621582031,33.65671920776367,168.45555114746094
2024-02-09,49.30219650268555,86.02674865722656,97.07683563232422,139.09918212890625,57.79485321044922,36.93726348876953,55.205291748046875,45.994388580322266,33.43778991699219,162.46730041503906
2024-02-12,50.44831085205078,86.4034652709961,96.66410827636719,141.0033416748047,57.93070602416992,37.34245681762695,56.32035446166992,46.81433868408203,34.856021881103516,165.31607055664062
2024-02-13,48.69092559814453,84.50224304199219,96.9904556274414,138.3511199951172,57.5910758972168,37.047767639160156,53.10232925415039,45.36737060546875,33.44731521606445,163.6397705078125
2024-02-14,49.11117172241211,84.6679916381836,96.83688354492188,139.93466186523438,57.53285598754883,37.204322814941406,53.638614654541016,45.106910705566406,33.81852340698242,162.3219757080078
